;Atlagos suly;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
2020.05.08.;49,14;37,13875083412443;38,00046769304881;39,07476735115051;39,5826940536499;40,10331171751022;42,23676322361148;48,66726604694916;54,057491421699524;54,87723447879156;55,90125489234924;56,36986571550369;56,72861981391907;57,4838747382164;57,865511655807495;59,01836562156677;
2020.05.12.;36,44;27,991706609725952;28,595481395721436;29,12301766872406;29,60163164138794;30,178835034370422;31,055440187454224;31,931796178221703;33,054927468299866;33,49933284521103;34,16132366657257;37,164902567863464;41,573104314506054;44,5188541156905;52,98823263569465;61,10093332082033;
2020.05.15.;41,55;29,686242818832397;30,485138177871704;31,402017503976822;32,782366710049764;34,9952483456962;36,48256707191467;36,948728293180466;39,07951679825783;40,698938846588135;43,445779004822604;46,735826840003334;49,047635468152855;50,76952948793769;56,39653117511322;64,2755686044693;
2020.05.20.;50,66;33,01315921545029;35,65353815423118;38,19442127810584;39,36023938655853;41,20264235747104;42,98850464820862;44,08824968338013;46,19074830141935;48,5426018089056;50,93520071761949;60,25922655843708;68,19407816231251;69,2480679154396;70,406827381679;71,65538650751114;
2020.05.23.;51,18;38,692902117967606;41,24014127254486;42,64197337627411;43,65180857976278;44,37443244457245;44,8329131603241;45,55315750837326;46,79825029770533;48,12734964489937;49,777742713689804;51,33098383886473;53,99858643229191;65,09204248527173;75,3307062536478;76,32986068725586;
2020.05.26.;59,50;41,121985557315114;44,47261509299278;45,62452244758606;48,33528513378567;49,640801429748535;50,53670394420624;52,04598592221737;55,27102843446183;58,50822642114427;60,324522530490704;68,0266304626068;77,38197111090024;79,0224196612835;80,38548323512077;81,82736280560493;
2020.05.29.;59,75;42,03483510017395;43,60287356376648;47,281735800060574;51,146371924877165;52,33832302689552;53,75681746006012;54,40296787023544;55,21717357635498;57,15353339612484;59,64714483699451;62,00820434093475;72,03918656426998;80,41225061938167;81,97307525981556;83,21671287715435;
2020.06.02.;64,19;47,70580220222473;49,60738289356232;53,22800433093851;56,18789392709732;57,117178320884705;58,902780294418335;60,59360194206238;61,955640494823456;64,37227896314401;66,5246679186821;68,67295432090759;70,09695234894753;77,01609025845447;84,88030883669853;85,92067930102348;
2020.06.05.;71,72;46,59821617603302;52,07275655439921;53,1859512925148;55,17725969851017;56,34816801548004;60,11155136268247;64,68002517876171;67,96300390460989;70,25559508800507;81,35066715144288;91,00583623349667;92,33613926172256;93,49574762582779;94,71909958124161;96,47321227192879;
2020.06.09.;79,03;58,78612342476845;62,7376310415566;65,41267466816035;69,63911050776156;73,20710222423077;74,81184780597687;75,5828629732132;76,87286357581615;77,59402784705162;78,61040399130434;85,98157464054388;94,26053616404533;95,40463494646305;97,08111851662397;99,40888750553131;
2020.06.12.;77,78;61,93577665090561;62,82617110013962;64,18330736955006;64,79651707410812;65,30745017528534;65,81659692525864;68,34758138372786;74,28625542657024;79,03674001991749;81,59552085604518;84,95597007518103;91,1173461082984;99,61860191822052;101,01745876669884;101,81632030010223;
2020.06.16.;77,09;59,08359783887863;61,07820022106171;62,275181889534;63,71509596705437;64,8174335360527;67,3541867852211;68,98371088504791;75,22600672442105;81,20487251877785;82,35164906084538;85,2660253220319;95,25096616524559;105,30891859531403;107,3841964006424;
2020.06.19.;87,43;62,88753616809845;69,67531043291092;71,05367104709148;71,97102995216846;75,06026228005067;79,35952692823042;83,66618733896928;85,06577882170677;87,40536412809577;97,81664937620125;107,54307132959366;108,88067144155502;111,29667255282402;112,3226957321167;
2020.06.23.;90,84;71,54062855243683;72,76941287517548;74,71400144696236;76,04908387362957;77,46165496110916;83,36260005740655;89,41776256263256;90,52312059700489;91,73702339828014;99,2065575919805;107,33087850763248;110,97011240252426;112,96440708637238;113,78058898448944;
2020.06.24.;92,93;73,45733153820038;74,8590772151947;76,11009716242552;79,48639185088021;83,50330282863054;89,06927254746704;92,84887421131134;93,73135207096736;95,32308803498745;97,12623434141278;104,19551844074513;111,93817245960236;113,51982176991609;115,86922693252563;
2020.06.30.;95,22;73,03762796521187;78,20573299378157;79,60290387272835;80,77874425053596;81,79350438714027;83,74206406871478;86,34105119109154;92,67710727717085;99,0992310444514;106,31104286736728;113,36700140292707;117,92943525314331;119,41347110271454;120,73710227012634;
2020.07.03.;98,90;71,84550631046295;72,88782435655594;80,68651351332664;83,94429984688759;87,1710276901722;92,39451701348197;96,98922264575958;98,11643826961517;100,21704125404358;109,54844216321194;118,86465258896351;121,11142599582672;122,88490581512451;127,97334241867065;
2020.07.08.;101,06;70,16043412685394;73,51457434892654;76,32508251070976;82,94478717446327;88,95206172338554;91,5307689011097;93,04972591996193;99,8509354641367;115,23280672315727;122,36428546905518;123,13143122196198;124,17807586987813;126,14763203263283;127,44053053855896;
